,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
239,2020-07-11,CA,"{'data_quality_grade': 'B', 'updated': '2020-07-11T04:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 7904, 'in_icu': {'total': None, 'currently': 2021}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6945, 'confirmed': None, 'probable': None}}",312344,312344.0,,5275695,
240,2020-07-10,CA,"{'data_quality_grade': 'B', 'updated': '2020-07-10T04:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 7896, 'in_icu': {'total': None, 'currently': 2005}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6851, 'confirmed': None, 'probable': None}}",304297,304297.0,,5175737,
241,2020-07-09,CA,"{'data_quality_grade': 'B', 'updated': '2020-07-09T04:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 7821, 'in_icu': {'total': None, 'currently': 1957}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6711, 'confirmed': None, 'probable': None}}",296499,296499.0,,5078434,
242,2020-07-08,CA,"{'data_quality_grade': 'B', 'updated': '2020-07-08T04:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 7705, 'in_icu': {'total': None, 'currently': 1976}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6562, 'confirmed': None, 'probable': None}}",289468,289468.0,,4996175,
243,2020-07-07,CA,"{'data_quality_grade': 'B', 'updated': '2020-07-07T04:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 7499, 'in_icu': {'total': None, 'currently': 1984}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6448, 'confirmed': None, 'probable': None}}",277774,277774.0,,4896370,
244,2020-07-06,CA,"{'data_quality_grade': 'B', 'updated': '2020-07-06T04:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 7278, 'in_icu': {'total': None, 'currently': 1937}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6337, 'confirmed': None, 'probable': None}}",271684,271684.0,,4793353,
245,2020-07-05,CA,"{'data_quality_grade': 'B', 'updated': '2020-07-05T04:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 7149, 'in_icu': {'total': None, 'currently': 1907}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6331, 'confirmed': None, 'probable': None}}",265985,265985.0,,4680138,
246,2020-07-04,CA,"{'data_quality_grade': 'B', 'updated': '2020-07-04T04:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 7092, 'in_icu': {'total': None, 'currently': 1888}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6313, 'confirmed': None, 'probable': None}}",257388,257388.0,,4553031,
247,2020-07-03,CA,"{'data_quality_grade': 'B', 'updated': '2020-07-03T04:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 7024, 'in_icu': {'total': None, 'currently': 1871}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6263, 'confirmed': None, 'probable': None}}",248235,248235.0,,4448176,
248,2020-07-02,CA,"{'data_quality_grade': 'B', 'updated': '2020-07-02T04:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 6812, 'in_icu': {'total': None, 'currently': 1934}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6163, 'confirmed': None, 'probable': None}}",242547,242547.0,,4338718,
249,2020-07-01,CA,"{'data_quality_grade': 'B', 'updated': '2020-07-01T04:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 6612, 'in_icu': {'total': None, 'currently': 1859}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6090, 'confirmed': None, 'probable': None}}",236139,236139.0,,4254176,
250,2020-06-30,CA,"{'data_quality_grade': 'B', 'updated': '2020-06-30T04:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 6466, 'in_icu': {'total': None, 'currently': 1751}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 5980, 'confirmed': None, 'probable': None}}",228732,228732.0,,4167139,
251,2020-06-29,CA,"{'data_quality_grade': 'B', 'updated': '2020-06-29T04:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 6179, 'in_icu': {'total': None, 'currently': 1686}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 5936, 'confirmed': None, 'probable': None}}",219252,219252.0,,4061692,
252,2020-06-28,CA,"{'data_quality_grade': 'B', 'updated': '2020-06-28T04:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 5956, 'in_icu': {'total': None, 'currently': 1602}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 5905, 'confirmed': None, 'probable': None}}",211243,211243.0,,3955952,
253,2020-06-27,CA,"{'data_quality_grade': 'B', 'updated': '2020-06-27T04:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 5790, 'in_icu': {'total': None, 'currently': 1562}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 5872, 'confirmed': None, 'probable': None}}",206433,206433.0,,3862310,
254,2020-06-26,CA,"{'data_quality_grade': 'B', 'updated': '2020-06-26T04:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 5639, 'in_icu': {'total': None, 'currently': 1570}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 5812, 'confirmed': None, 'probable': None}}",200461,200461.0,,3771314,
255,2020-06-25,CA,"{'data_quality_grade': 'B', 'updated': '2020-06-25T04:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 5522, 'in_icu': {'total': None, 'currently': 1523}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 5733, 'confirmed': None, 'probable': None}}",195571,195571.0,,3694345,
256,2020-06-24,CA,"{'data_quality_grade': 'B', 'updated': '2020-06-24T04:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 5399, 'in_icu': {'total': None, 'currently': 1487}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 5632, 'confirmed': None, 'probable': None}}",190222,190222.0,,3592899,
257,2020-06-23,CA,"{'data_quality_grade': 'B', 'updated': '2020-06-23T04:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 5065, 'in_icu': {'total': None, 'currently': 1421}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 5580, 'confirmed': None, 'probable': None}}",183073,183073.0,,3496929,
258,2020-06-22,CA,"{'data_quality_grade': 'B', 'updated': '2020-06-22T04:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 4804, 'in_icu': {'total': None, 'currently': 1412}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 5515, 'confirmed': None, 'probable': None}}",178054,178054.0,,3411686,
259,2020-06-21,CA,"{'data_quality_grade': 'B', 'updated': '2020-06-21T04:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 4679, 'in_icu': {'total': None, 'currently': 1366}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 5495, 'confirmed': None, 'probable': None}}",173824,173824.0,,3319256,
260,2020-06-20,CA,"{'data_quality_grade': 'B', 'updated': '2020-06-20T04:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 4582, 'in_icu': {'total': None, 'currently': 1332}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 5424, 'confirmed': None, 'probable': None}}",169309,169309.0,,3234412,
261,2020-06-19,CA,"{'data_quality_grade': 'B', 'updated': '2020-06-19T04:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 4587, 'in_icu': {'total': None, 'currently': 1329}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 5360, 'confirmed': None, 'probable': None}}",165416,165416.0,,3155702,
262,2020-06-18,CA,"{'data_quality_grade': 'B', 'updated': '2020-06-18T04:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 4584, 'in_icu': {'total': None, 'currently': 1298}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 5290, 'confirmed': None, 'probable': None}}",161099,161099.0,,3074530,
263,2020-06-17,CA,"{'data_quality_grade': 'B', 'updated': '2020-06-17T04:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 4522, 'in_icu': {'total': None, 'currently': 1318}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 5208, 'confirmed': None, 'probable': None}}",157015,157015.0,,2997988,
