,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
81,2020-12-16,MO,"{'data_quality_grade': 'A+', 'updated': '2020-12-16T05:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 2529, 'in_icu': {'total': None, 'currently': 604}, 'on_ventilator': {'total': None, 'currently': 324}}, 'death': {'total': 4799, 'confirmed': None, 'probable': None}}",353038,353038,,3381644,389956
82,2020-12-15,MO,"{'data_quality_grade': 'A+', 'updated': '2020-12-15T05:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 2543, 'in_icu': {'total': None, 'currently': 593}, 'on_ventilator': {'total': None, 'currently': 325}}, 'death': {'total': 4754, 'confirmed': None, 'probable': None}}",350365,350365,,3365969,386982
83,2020-12-14,MO,"{'data_quality_grade': 'A+', 'updated': '2020-12-14T05:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 2624, 'in_icu': {'total': None, 'currently': 603}, 'on_ventilator': {'total': None, 'currently': 335}}, 'death': {'total': 4514, 'confirmed': None, 'probable': None}}",347603,347603,,3350253,383863
84,2020-12-13,MO,"{'data_quality_grade': 'A+', 'updated': '2020-12-13T05:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 2637, 'in_icu': {'total': None, 'currently': 604}, 'on_ventilator': {'total': None, 'currently': 332}}, 'death': {'total': 4511, 'confirmed': None, 'probable': None}}",345041,345041,,3333657,381112
85,2020-12-12,MO,"{'data_quality_grade': 'A+', 'updated': '2020-12-12T05:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 2710, 'in_icu': {'total': None, 'currently': 644}, 'on_ventilator': {'total': None, 'currently': 330}}, 'death': {'total': 4503, 'confirmed': None, 'probable': None}}",342347,342347,,3314288,378092
86,2020-12-11,MO,"{'data_quality_grade': 'A+', 'updated': '2020-12-11T05:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 2795, 'in_icu': {'total': None, 'currently': 650}, 'on_ventilator': {'total': None, 'currently': 350}}, 'death': {'total': 4481, 'confirmed': None, 'probable': None}}",338604,338604,,3292575,374017
87,2020-12-10,MO,"{'data_quality_grade': 'A+', 'updated': '2020-12-10T05:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 2641, 'in_icu': {'total': None, 'currently': 650}, 'on_ventilator': {'total': None, 'currently': 343}}, 'death': {'total': 4450, 'confirmed': None, 'probable': None}}",334704,334704,,3269682,369810
88,2020-12-09,MO,"{'data_quality_grade': 'A+', 'updated': '2020-12-09T05:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 2579, 'in_icu': {'total': None, 'currently': 638}, 'on_ventilator': {'total': None, 'currently': 334}}, 'death': {'total': 4383, 'confirmed': None, 'probable': None}}",330846,330846,,3244398,365582
89,2020-12-08,MO,"{'data_quality_grade': 'A+', 'updated': '2020-12-08T05:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 2628, 'in_icu': {'total': None, 'currently': 623}, 'on_ventilator': {'total': None, 'currently': 344}}, 'death': {'total': 4355, 'confirmed': None, 'probable': None}}",328206,328206,,3230130,362735
90,2020-12-07,MO,"{'data_quality_grade': 'A+', 'updated': '2020-12-07T05:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 2550, 'in_icu': {'total': None, 'currently': 599}, 'on_ventilator': {'total': None, 'currently': 355}}, 'death': {'total': 4194, 'confirmed': None, 'probable': None}}",324956,324956,,3211429,359229
91,2020-12-06,MO,"{'data_quality_grade': 'A+', 'updated': '2020-12-06T05:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 2708, 'in_icu': {'total': None, 'currently': 625}, 'on_ventilator': {'total': None, 'currently': 368}}, 'death': {'total': 4192, 'confirmed': None, 'probable': None}}",322298,322298,,3196185,356389
92,2020-12-05,MO,"{'data_quality_grade': 'A+', 'updated': '2020-12-05T05:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 2735, 'in_icu': {'total': None, 'currently': 631}, 'on_ventilator': {'total': None, 'currently': 361}}, 'death': {'total': 4181, 'confirmed': None, 'probable': None}}",318422,318422,,3173989,352226
93,2020-12-04,MO,"{'data_quality_grade': 'A+', 'updated': '2020-12-04T05:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 2803, 'in_icu': {'total': None, 'currently': 659}, 'on_ventilator': {'total': None, 'currently': 368}}, 'death': {'total': 4122, 'confirmed': None, 'probable': None}}",313421,313421,,3147554,346857
94,2020-12-03,MO,"{'data_quality_grade': 'A+', 'updated': '2020-12-03T05:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 2758, 'in_icu': {'total': None, 'currently': 659}, 'on_ventilator': {'total': None, 'currently': 376}}, 'death': {'total': 4102, 'confirmed': None, 'probable': None}}",309368,309368,,3124697,342557
95,2020-12-02,MO,"{'data_quality_grade': 'A+', 'updated': '2020-12-02T05:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 2651, 'in_icu': {'total': None, 'currently': 670}, 'on_ventilator': {'total': None, 'currently': 354}}, 'death': {'total': 4043, 'confirmed': None, 'probable': None}}",305370,305370,,3103739,338277
