,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
16,2021-02-19,IL,"{'data_quality_grade': 'A', 'updated': '2021-02-19T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1596, 'in_icu': {'total': None, 'currently': 366}, 'on_ventilator': {'total': None, 'currently': 190}}, 'death': {'total': 22368, 'confirmed': 20192, 'probable': 2176}}",1170902,,,17474319.0,
17,2021-02-18,IL,"{'data_quality_grade': 'A', 'updated': '2021-02-18T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1655, 'in_icu': {'total': None, 'currently': 386}, 'on_ventilator': {'total': None, 'currently': 184}}, 'death': {'total': 22297, 'confirmed': 20129, 'probable': 2168}}",1168683,,,17388356.0,
18,2021-02-17,IL,"{'data_quality_grade': 'A', 'updated': '2021-02-17T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1719, 'in_icu': {'total': None, 'currently': 375}, 'on_ventilator': {'total': None, 'currently': 176}}, 'death': {'total': 22224, 'confirmed': 20057, 'probable': 2167}}",1166717,,,17320814.0,
19,2021-02-16,IL,"{'data_quality_grade': 'A', 'updated': '2021-02-16T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1726, 'in_icu': {'total': None, 'currently': 385}, 'on_ventilator': {'total': None, 'currently': 179}}, 'death': {'total': 22199, 'confirmed': 20034, 'probable': 2165}}",1164922,,,17270877.0,
20,2021-02-15,IL,"{'data_quality_grade': 'A', 'updated': '2021-02-15T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1789, 'in_icu': {'total': None, 'currently': 389}, 'on_ventilator': {'total': None, 'currently': 184}}, 'death': {'total': 22166, 'confirmed': 20002, 'probable': 2164}}",1163574,,,17224247.0,
21,2021-02-14,IL,"{'data_quality_grade': 'A', 'updated': '2021-02-14T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1777, 'in_icu': {'total': None, 'currently': 373}, 'on_ventilator': {'total': None, 'currently': 189}}, 'death': {'total': 22121, 'confirmed': 19961, 'probable': 2160}}",1162154,,,17171858.0,
22,2021-02-13,IL,"{'data_quality_grade': 'A', 'updated': '2021-02-13T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1892, 'in_icu': {'total': None, 'currently': 425}, 'on_ventilator': {'total': None, 'currently': 202}}, 'death': {'total': 22087, 'confirmed': 19926, 'probable': 2161}}",1160523,,,17106909.0,
23,2021-02-12,IL,"{'data_quality_grade': 'A', 'updated': '2021-02-12T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1910, 'in_icu': {'total': None, 'currently': 437}, 'on_ventilator': {'total': None, 'currently': 211}}, 'death': {'total': 22027, 'confirmed': 19873, 'probable': 2154}}",1158431,,,17021919.0,
24,2021-02-11,IL,"{'data_quality_grade': 'A', 'updated': '2021-02-11T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1954, 'in_icu': {'total': None, 'currently': 448}, 'on_ventilator': {'total': None, 'currently': 227}}, 'death': {'total': 21985, 'confirmed': 19841, 'probable': 2144}}",1155833,,,16918910.0,
25,2021-02-10,IL,"{'data_quality_grade': 'A', 'updated': '2021-02-10T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 2082, 'in_icu': {'total': None, 'currently': 464}, 'on_ventilator': {'total': None, 'currently': 232}}, 'death': {'total': 21869, 'confirmed': 19739, 'probable': 2130}}",1152995,,,16822385.0,
26,2021-02-09,IL,"{'data_quality_grade': 'A', 'updated': '2021-02-09T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 2117, 'in_icu': {'total': None, 'currently': 497}, 'on_ventilator': {'total': None, 'currently': 240}}, 'death': {'total': 21802, 'confirmed': 19686, 'probable': 2116}}",1150170,,,16739500.0,
27,2021-02-08,IL,"{'data_quality_grade': 'A', 'updated': '2021-02-08T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 2161, 'in_icu': {'total': None, 'currently': 469}, 'on_ventilator': {'total': None, 'currently': 251}}, 'death': {'total': 21779, 'confirmed': 19668, 'probable': 2111}}",1148088,,,16683795.0,
28,2021-02-07,IL,"{'data_quality_grade': 'A', 'updated': '2021-02-07T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 2188, 'in_icu': {'total': None, 'currently': 507}, 'on_ventilator': {'total': None, 'currently': 245}}, 'death': {'total': 21738, 'confirmed': 19633, 'probable': 2105}}",1146341,,,16636585.0,
29,2021-02-06,IL,"{'data_quality_grade': 'A', 'updated': '2021-02-06T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 2271, 'in_icu': {'total': None, 'currently': 485}, 'on_ventilator': {'total': None, 'currently': 246}}, 'death': {'total': 21676, 'confirmed': 19585, 'probable': 2091}}",1144281,,,16555035.0,
30,2021-02-05,IL,"{'data_quality_grade': 'A', 'updated': '2021-02-05T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 2318, 'in_icu': {'total': None, 'currently': 491}, 'on_ventilator': {'total': None, 'currently': 254}}, 'death': {'total': 21603, 'confirmed': 19526, 'probable': 2077}}",1141219,,,16464740.0,
31,2021-02-04,IL,"{'data_quality_grade': 'A', 'updated': '2021-02-04T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 2341, 'in_icu': {'total': None, 'currently': 513}, 'on_ventilator': {'total': None, 'currently': 265}}, 'death': {'total': 21497, 'confirmed': 19444, 'probable': 2053}}",1137559,,,16359655.0,
32,2021-02-03,IL,"{'data_quality_grade': 'A', 'updated': '2021-02-03T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 2469, 'in_icu': {'total': None, 'currently': 520}, 'on_ventilator': {'total': None, 'currently': 270}}, 'death': {'total': 21420, 'confirmed': 19375, 'probable': 2045}}",1134231,,,16258348.0,
33,2021-02-02,IL,"{'data_quality_grade': 'A', 'updated': '2021-02-02T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 2447, 'in_icu': {'total': None, 'currently': 533}, 'on_ventilator': {'total': None, 'currently': 265}}, 'death': {'total': 21336, 'confirmed': 19306, 'probable': 2030}}",1130917,,,16161454.0,
