,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
15,2021-02-20,IN,"{'data_quality_grade': 'A+', 'updated': '2021-02-20T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 42378, 'currently': 923, 'in_icu': {'total': 7391, 'currently': 172}, 'on_ventilator': {'total': None, 'currently': 78}}, 'death': {'total': 12336, 'confirmed': 11912, 'probable': 424}}",654660.0,,,7721658,745419
16,2021-02-19,IN,"{'data_quality_grade': 'A+', 'updated': '2021-02-19T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 42333, 'currently': 948, 'in_icu': {'total': 7383, 'currently': 179}, 'on_ventilator': {'total': None, 'currently': 88}}, 'death': {'total': 12325, 'confirmed': 11898, 'probable': 427}}",653245.0,,,7683034,743777
17,2021-02-18,IN,"{'data_quality_grade': 'A+', 'updated': '2021-02-18T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 42246, 'currently': 966, 'in_icu': {'total': 7372, 'currently': 178}, 'on_ventilator': {'total': None, 'currently': 90}}, 'death': {'total': 12281, 'confirmed': 11854, 'probable': 427}}",652210.0,,,7650673,742550
18,2021-02-17,IN,"{'data_quality_grade': 'A+', 'updated': '2021-02-17T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 42086, 'currently': 955, 'in_icu': {'total': 7336, 'currently': 193}, 'on_ventilator': {'total': None, 'currently': 98}}, 'death': {'total': 12250, 'confirmed': 11825, 'probable': 425}}",651453.0,,,7624956,741642
19,2021-02-16,IN,"{'data_quality_grade': 'A+', 'updated': '2021-02-16T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 41840, 'currently': 1018, 'in_icu': {'total': 7312, 'currently': 201}, 'on_ventilator': {'total': None, 'currently': 107}}, 'death': {'total': 12231, 'confirmed': 11805, 'probable': 426}}",650530.0,,,7593841,740557
20,2021-02-15,IN,"{'data_quality_grade': 'A+', 'updated': '2021-02-15T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 41646, 'currently': 1066, 'in_icu': {'total': 7285, 'currently': 200}, 'on_ventilator': {'total': None, 'currently': 104}}, 'death': {'total': 12191, 'confirmed': 11765, 'probable': 426}}",649652.0,,,7573633,739554
21,2021-02-14,IN,"{'data_quality_grade': 'A+', 'updated': '2021-02-14T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 41604, 'currently': 1031, 'in_icu': {'total': 7283, 'currently': 214}, 'on_ventilator': {'total': None, 'currently': 108}}, 'death': {'total': 12173, 'confirmed': 11746, 'probable': 427}}",648875.0,,,7557530,738594
22,2021-02-13,IN,"{'data_quality_grade': 'A+', 'updated': '2021-02-13T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 41530, 'currently': 1079, 'in_icu': {'total': 7267, 'currently': 211}, 'on_ventilator': {'total': None, 'currently': 109}}, 'death': {'total': 12149, 'confirmed': 11722, 'probable': 427}}",647657.0,,,7516729,737120
23,2021-02-12,IN,"{'data_quality_grade': 'A+', 'updated': '2021-02-12T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 41459, 'currently': 1178, 'in_icu': {'total': 7253, 'currently': 227}, 'on_ventilator': {'total': None, 'currently': 119}}, 'death': {'total': 12117, 'confirmed': 11690, 'probable': 427}}",646425.0,,,7470213,735665
24,2021-02-11,IN,"{'data_quality_grade': 'A+', 'updated': '2021-02-11T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 41378, 'currently': 1226, 'in_icu': {'total': 7240, 'currently': 239}, 'on_ventilator': {'total': None, 'currently': 118}}, 'death': {'total': 12027, 'confirmed': 11604, 'probable': 423}}",645006.0,,,7425081,734071
25,2021-02-10,IN,"{'data_quality_grade': 'A+', 'updated': '2021-02-10T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 41292, 'currently': 1273, 'in_icu': {'total': 7228, 'currently': 262}, 'on_ventilator': {'total': None, 'currently': 138}}, 'death': {'total': 12001, 'confirmed': 11578, 'probable': 423}}",643305.0,,,7367210,732027
26,2021-02-09,IN,"{'data_quality_grade': 'A+', 'updated': '2021-02-09T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 41207, 'currently': 1265, 'in_icu': {'total': 7207, 'currently': 274}, 'on_ventilator': {'total': None, 'currently': 142}}, 'death': {'total': 11942, 'confirmed': 11526, 'probable': 416}}",641874.0,,,7328824,730482
27,2021-02-08,IN,"{'data_quality_grade': 'A+', 'updated': '2021-02-08T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 41109, 'currently': 1292, 'in_icu': {'total': 7190, 'currently': 285}, 'on_ventilator': {'total': None, 'currently': 146}}, 'death': {'total': 11875, 'confirmed': 11459, 'probable': 416}}",640744.0,,,7303220,729157
28,2021-02-07,IN,"{'data_quality_grade': 'A+', 'updated': '2021-02-07T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 41034, 'currently': 1287, 'in_icu': {'total': 7177, 'currently': 290}, 'on_ventilator': {'total': None, 'currently': 153}}, 'death': {'total': 11817, 'confirmed': 11401, 'probable': 416}}",639711.0,,,7285821,727970
