,date,fips,mean_temp
0,2020-01-21T00:00:00,44003.0,21.0
1,2020-01-22T00:00:00,44003.0,23.0
2,2020-01-23T00:00:00,44003.0,30.0
3,2020-01-24T00:00:00,44003.0,37.0
4,2020-01-25T00:00:00,44003.0,39.0
5,2020-01-26T00:00:00,44003.0,46.0
6,2020-01-27T00:00:00,44003.0,38.0
7,2020-01-28T00:00:00,44003.0,39.0
8,2020-01-29T00:00:00,44003.0,36.0
9,2020-01-30T00:00:00,44003.0,28.0
10,2020-01-31T00:00:00,44003.0,33.0
11,2020-02-01T00:00:00,44003.0,36.0
12,2020-02-02T00:00:00,44003.0,38.0
13,2020-02-03T00:00:00,44003.0,38.0
14,2020-02-04T00:00:00,44003.0,38.0
15,2020-02-05T00:00:00,44003.0,40.0
16,2020-02-06T00:00:00,44003.0,37.0
17,2020-02-07T00:00:00,44003.0,40.0
18,2020-02-08T00:00:00,44003.0,31.0
19,2020-02-09T00:00:00,44003.0,28.0
20,2020-02-10T00:00:00,44003.0,42.0
21,2020-02-11T00:00:00,44003.0,42.0
22,2020-02-12T00:00:00,44003.0,40.0
23,2020-02-13T00:00:00,44003.0,38.0
24,2020-02-14T00:00:00,44003.0,32.0
25,2020-02-15T00:00:00,44003.0,18.0
26,2020-02-16T00:00:00,44003.0,32.0
27,2020-02-17T00:00:00,44003.0,37.0
28,2020-02-18T00:00:00,44003.0,35.0
29,2020-02-19T00:00:00,44003.0,40.0
30,2020-02-20T00:00:00,44003.0,30.0
31,2020-02-21T00:00:00,44003.0,24.0
32,2020-02-22T00:00:00,44003.0,33.0
33,2020-02-23T00:00:00,44003.0,38.0
34,2020-02-24T00:00:00,44003.0,42.0
35,2020-02-25T00:00:00,44003.0,45.0
36,2020-02-26T00:00:00,44003.0,46.0
37,2020-02-27T00:00:00,44003.0,45.0
38,2020-02-28T00:00:00,44003.0,33.0
39,2020-02-29T00:00:00,44003.0,31.0
40,2020-03-01T00:00:00,44003.0,26.0
41,2020-03-02T00:00:00,44003.0,36.0
42,2020-03-03T00:00:00,44003.0,51.0
43,2020-03-04T00:00:00,44003.0,49.0
44,2020-03-05T00:00:00,44003.0,45.0
45,2020-03-06T00:00:00,44003.0,40.0
46,2020-03-07T00:00:00,44003.0,36.0
47,2020-03-08T00:00:00,44003.0,41.0
48,2020-03-09T00:00:00,44003.0,54.0
49,2020-03-10T00:00:00,44003.0,56.0
50,2020-03-11T00:00:00,44003.0,53.0
51,2020-03-12T00:00:00,44003.0,42.0
52,2020-03-13T00:00:00,44003.0,49.0
53,2020-03-14T00:00:00,44003.0,46.0
54,2020-03-15T00:00:00,44003.0,44.0
55,2020-03-16T00:00:00,44003.0,34.0
56,2020-03-17T00:00:00,44003.0,39.0
57,2020-03-18T00:00:00,44003.0,44.0
58,2020-03-19T00:00:00,44003.0,44.0
59,2020-03-20T00:00:00,44003.0,49.0
60,2020-03-21T00:00:00,44003.0,51.0
61,2020-03-22T00:00:00,44003.0,35.0
62,2020-03-23T00:00:00,44003.0,33.0
63,2020-03-24T00:00:00,44003.0,42.0
64,2020-03-25T00:00:00,44003.0,41.0
65,2020-03-26T00:00:00,44003.0,42.0
66,2020-03-27T00:00:00,44003.0,52.0
67,2020-03-28T00:00:00,44003.0,45.0
68,2020-03-29T00:00:00,44003.0,44.0
69,2020-03-30T00:00:00,44003.0,43.0
70,2020-03-31T00:00:00,44003.0,41.0
71,2020-04-01T00:00:00,44003.0,38.0
72,2020-04-02T00:00:00,44003.0,45.0
73,2020-04-03T00:00:00,44003.0,44.0
74,2020-04-04T00:00:00,44003.0,45.0
75,2020-04-05T00:00:00,44003.0,44.0
76,2020-04-06T00:00:00,44003.0,50.0
77,2020-04-07T00:00:00,44003.0,53.0
78,2020-04-08T00:00:00,44003.0,49.0
79,2020-04-09T00:00:00,44003.0,45.0
80,2020-04-10T00:00:00,44003.0,44.0
81,2020-04-11T00:00:00,44003.0,43.0
82,2020-04-12T00:00:00,44003.0,45.0
83,2020-04-13T00:00:00,44003.0,54.0
84,2020-04-14T00:00:00,44003.0,54.0
85,2020-04-15T00:00:00,44003.0,48.0
86,2020-04-16T00:00:00,44003.0,42.0
87,2020-04-17T00:00:00,44003.0,41.0
88,2020-04-18T00:00:00,44003.0,38.0
89,2020-04-19T00:00:00,44003.0,45.0
90,2020-04-20T00:00:00,44003.0,50.0
91,2020-04-21T00:00:00,44003.0,42.0
92,2020-04-22T00:00:00,44003.0,40.0
93,2020-04-23T00:00:00,44003.0,42.0
94,2020-04-24T00:00:00,44003.0,43.0
95,2020-04-25T00:00:00,44003.0,47.0
96,2020-04-26T00:00:00,44003.0,46.0
97,2020-04-27T00:00:00,44003.0,42.0
98,2020-04-28T00:00:00,44003.0,44.0
99,2020-04-29T00:00:00,44003.0,47.0
100,2020-04-30T00:00:00,44003.0,47.0
101,2020-05-01T00:00:00,44003.0,55.0
102,2020-05-02T00:00:00,44003.0,59.0
103,2020-05-03T00:00:00,44003.0,62.0
104,2020-05-04T00:00:00,44003.0,63.0
105,2020-05-05T00:00:00,44003.0,53.0
106,2020-05-06T00:00:00,44003.0,49.0
107,2020-05-07T00:00:00,44003.0,50.0
108,2020-05-08T00:00:00,44003.0,51.0
109,2020-05-09T00:00:00,44003.0,42.0
110,2020-05-10T00:00:00,44003.0,45.0
111,2020-05-11T00:00:00,44003.0,51.0
112,2020-05-12T00:00:00,44003.0,49.0
113,2020-05-13T00:00:00,44003.0,49.0
114,2020-05-14T00:00:00,44003.0,56.0
115,2020-05-15T00:00:00,44003.0,60.0
116,2020-05-16T00:00:00,44003.0,67.0
117,2020-05-17T00:00:00,44003.0,55.0
118,2020-05-18T00:00:00,44003.0,57.0
119,2020-05-19T00:00:00,44003.0,56.0
120,2020-05-20T00:00:00,44003.0,55.0
121,2020-05-21T00:00:00,44003.0,54.0
122,2020-05-22T00:00:00,44003.0,64.0
123,2020-05-23T00:00:00,44003.0,62.0
124,2020-05-24T00:00:00,44003.0,55.0
125,2020-05-25T00:00:00,44003.0,57.0
126,2020-05-26T00:00:00,44003.0,66.0
127,2020-05-27T00:00:00,44003.0,66.0
128,2020-05-28T00:00:00,44003.0,69.0
129,2020-05-29T00:00:00,44003.0,70.0
130,2020-05-30T00:00:00,44003.0,72.0
131,2020-05-31T00:00:00,44003.0,66.0
132,2020-06-01T00:00:00,44003.0,56.0
133,2020-06-02T00:00:00,44003.0,58.0
134,2020-06-03T00:00:00,44003.0,68.0
135,2020-06-04T00:00:00,44003.0,75.0
136,2020-06-05T00:00:00,44003.0,71.0
137,2020-06-06T00:00:00,44003.0,71.0
138,2020-06-07T00:00:00,44003.0,66.0
139,2020-06-08T00:00:00,44003.0,66.0
